Manggar;7.77;1.70;5.25;0.00
Mengkubang;10.01;6.48;2.61;0.00
Kelapa Kampit;10.63;7.02;2.29;0.00
Gantung;3.34;2.14;1.73;0.10
Renggiang;15.38;14.07;5.51;0.00
Simpang Pesak;10.31;6.42;6.65;0.00
Dendang;14.19;8.99;4.09;0.14
Kabupaten;8.57;5.00;3.57;0.04
