Manggar;72.31;80.82;76.34;73.54;81.85;77.47
Mengkubang;88.07;95.92;91.79;88.07;95.92;91.79
Kelapa Kampit;89.03;76.43;83.05;89.03;76.43;83.05
Gantung;107.95;107.44;107.71;107.53;107.44;107.49
Renggiang;59.68;80.36;69.49;59.68;82.14;70.34
Simpang Pesak;71.43;103.17;86.47;70.00;98.41;83.46
Dendang;76.14;94.94;85.03;76.14;94.94;85.03
Kabupaten;84.06;90.46;87.09;84.26;90.56;87.24
