Manggar;57.97;132.19;94.11
Mengkubang;86.04;100.40;92.98
Kelapa Kampit;82.62;115.02;98.00
Gantung;50.77;108.47;78.43
Renggiang;56.70;128.37;91.00
Simpang Pesak;55.84;102.12;77.94
Dendang;73.21;88.02;80.31
Kabupaten;64.09;114.80;88.49
