Manggar;83.47;82.30;82.55
Mengkubang;74.88;89.32;86.17
Kelapa Kampit;90.17;97.10;95.47
Gantung;107.49;80.80;86.10
Renggiang;76.27;103.79;97.78
Simpang Pesak;83.46;93.08;91.08
Dendang;76.65;77.96;77.66
Kabupaten;88.05;86.21;86.60
