Manggar;57.06;0.00;0.00;0.03;6.15
Mengkubang;34.95;0.00;0.07;0.00;3.61
Kelapa Kampit;76.17;0.00;0.14;0.11;8.64
Gantung;23.95;0.00;0.15;0.17;2.40
Renggiang;66.67;0.00;0.09;0.00;6.04
Simpang Pesak;95.77;0.00;0.00;0.00;9.82
Dendang;49.08;0.00;0.04;0.00;4.15
Kabupaten;60.87;0.00;0.07;0.04;6.26
