Manggar;17.69;13.58;100;100;100
Mengkubang;45.80;33.75;100;100;100
Kelapa Kampit;58.61;19.25;100;100;100
Gantung;17.72;19.39;100;100;100
Renggiang;78.77;52.62;100;100;100
Simpang Pesak;15.42;7.40;100;100;100
Dendang;11.33;8.17;100;100;100
Kabupaten;29.62;19.22;100;100;100
