Manggar;67.01;4.01;4.98;8.99;11.97
Mengkubang;25.39;3.17;4.90;5.99;6.91
Kelapa Kampit;65.53;6.16;5.69;11.61;12.89
Gantung;60.19;5.21;4.57;5.00;9.96
Renggiang;75.47;3.21;2.59;6.93;9.61
Simpang Pesak;79.10;2.77;3.91;14.29;12.29
Dendang;56.43;3.52;4.27;12.38;9.10
Kabupaten;63.15;4.25;4.58;9.09;10.92
